6.70612e+08 6.69607e+08 6.69486e+08 6.70524e+08 6.70149e+08 6.70696e+08 6.70058e+08 6.70655e+08 6.6993e+08 6.69641e+08 6.70605e+08 6.69476e+08 6.69814e+08 6.69966e+08 6.70502e+08 6.70273e+08 6.70635e+08 6.70181e+08 6.70538e+08 6.6951e+08 6.70502e+08 6.7067e+08 6.69923e+08 6.70341e+08 6.69616e+08 6.70526e+08 6.69865e+08 6.7041e+08 6.70225e+08 6.69921e+08 6.70485e+08 6.70365e+08 6.70527e+08 6.70631e+08 6.70542e+08 6.70646e+08 6.70729e+08 6.70312e+08 6.70503e+08 6.69574e+08 6.69744e+08 6.69935e+08 
6.70402e+08 6.69756e+08 6.69675e+08 6.70322e+08 6.70254e+08 6.70529e+08 6.70223e+08 6.70478e+08 6.69999e+08 6.69816e+08 6.7027e+08 6.69677e+08 6.69832e+08 6.7002e+08 6.70405e+08 6.7034e+08 6.70516e+08 6.70272e+08 6.70346e+08 6.69807e+08 6.7039e+08 6.70531e+08 6.70081e+08 6.70202e+08 6.69853e+08 6.70308e+08 6.70031e+08 6.7031e+08 6.70213e+08 6.70054e+08 6.70378e+08 6.70387e+08 6.70519e+08 6.70607e+08 6.70566e+08 6.70637e+08 6.70649e+08 6.70377e+08 6.70327e+08 6.69759e+08 6.69771e+08 6.69909e+08 
6.70158e+08 6.6992e+08 6.69871e+08 6.70186e+08 6.70249e+08 6.70452e+08 6.70276e+08 6.70332e+08 6.70084e+08 6.69948e+08 6.70068e+08 6.698e+08 6.69922e+08 6.70025e+08 6.70333e+08 6.70347e+08 6.70453e+08 6.7028e+08 6.70277e+08 6.70053e+08 6.70287e+08 6.70375e+08 6.70167e+08 6.70176e+08 6.6998e+08 6.70213e+08 6.70104e+08 6.70231e+08 6.70197e+08 6.70175e+08 6.70325e+08 6.70397e+08 6.70502e+08 6.70582e+08 6.70583e+08 6.70621e+08 6.70581e+08 6.70378e+08 6.70222e+08 6.69904e+08 6.69846e+08 6.69853e+08 
6.70004e+08 6.70044e+08 6.70037e+08 6.70126e+08 6.70203e+08 6.70396e+08 6.7027e+08 6.70244e+08 6.70134e+08 6.70032e+08 6.69967e+08 6.6989e+08 6.70027e+08 6.70042e+08 6.70253e+08 6.7032e+08 6.70402e+08 6.70264e+08 6.70269e+08 6.70214e+08 6.70234e+08 6.70247e+08 6.70198e+08 6.70196e+08 6.70057e+08 6.70174e+08 6.7013e+08 6.70186e+08 6.70196e+08 6.70252e+08 6.70314e+08 6.70393e+08 6.70481e+08 6.70557e+08 6.70586e+08 6.70595e+08 6.70509e+08 6.70343e+08 6.70178e+08 6.70017e+08 6.6993e+08 6.69823e+08 
6.69947e+08 6.7013e+08 6.70156e+08 6.70124e+08 6.7015e+08 6.70322e+08 6.70239e+08 6.70199e+08 6.70159e+08 6.70077e+08 6.69939e+08 6.69977e+08 6.70106e+08 6.70077e+08 6.7019e+08 6.70267e+08 6.70342e+08 6.7025e+08 6.7029e+08 6.703e+08 6.70209e+08 6.70163e+08 6.70194e+08 6.70225e+08 6.70118e+08 6.70161e+08 6.70139e+08 6.70167e+08 6.70203e+08 6.70297e+08 6.70323e+08 6.70385e+08 6.70457e+08 6.70528e+08 6.70577e+08 6.70551e+08 6.70434e+08 6.70295e+08 6.70171e+08 6.70101e+08 6.70009e+08 6.69839e+08 
6.6996e+08 6.7018e+08 6.70227e+08 6.70153e+08 6.70112e+08 6.70232e+08 6.70198e+08 6.70175e+08 6.70164e+08 6.70099e+08 6.69966e+08 6.70059e+08 6.70159e+08 6.70116e+08 6.7015e+08 6.70201e+08 6.70275e+08 6.70248e+08 6.70318e+08 6.70333e+08 6.70198e+08 6.70123e+08 6.70177e+08 6.70243e+08 6.70171e+08 6.70164e+08 6.70143e+08 6.70163e+08 6.70218e+08 6.70322e+08 6.70339e+08 6.7038e+08 6.70435e+08 6.70497e+08 6.70548e+08 6.70491e+08 6.70361e+08 6.70252e+08 6.70183e+08 6.70161e+08 6.70078e+08 6.69898e+08 
6.70011e+08 6.70209e+08 6.70259e+08 6.70184e+08 6.70094e+08 6.70147e+08 6.70152e+08 6.70156e+08 6.70159e+08 6.70115e+08 6.70029e+08 6.70131e+08 6.70197e+08 6.70148e+08 6.70128e+08 6.70139e+08 6.70213e+08 6.70249e+08 6.70334e+08 6.70333e+08 6.70195e+08 6.70116e+08 6.70162e+08 6.70245e+08 6.70209e+08 6.70178e+08 6.70152e+08 6.70173e+08 6.70236e+08 6.70334e+08 6.70352e+08 6.70377e+08 6.70416e+08 6.70462e+08 6.70499e+08 6.70419e+08 6.70296e+08 6.70223e+08 6.70201e+08 6.70204e+08 6.70139e+08 6.6998e+08 
6.70067e+08 6.70227e+08 6.70268e+08 6.70202e+08 6.7009e+08 6.70084e+08 6.70105e+08 6.70132e+08 6.70148e+08 6.70134e+08 6.70104e+08 6.7019e+08 6.70224e+08 6.70169e+08 6.70116e+08 6.70094e+08 6.70164e+08 6.70246e+08 6.7033e+08 6.70314e+08 6.70197e+08 6.70129e+08 6.70158e+08 6.70236e+08 6.70231e+08 6.70197e+08 6.70169e+08 6.70193e+08 6.70253e+08 6.70338e+08 6.70359e+08 6.70376e+08 6.70398e+08 6.70423e+08 6.70434e+08 6.70342e+08 6.70243e+08 6.70206e+08 6.70218e+08 6.70235e+08 6.70191e+08 6.70059e+08 
6.70116e+08 6.70239e+08 6.70262e+08 6.70203e+08 6.7009e+08 6.70048e+08 6.70064e+08 6.70106e+08 6.70137e+08 6.70159e+08 6.70174e+08 6.7024e+08 6.70245e+08 6.7018e+08 6.70111e+08 6.7007e+08 6.70133e+08 6.70232e+08 6.70308e+08 6.70289e+08 6.70201e+08 6.70152e+08 6.70165e+08 6.70225e+08 6.70239e+08 6.70216e+08 6.70193e+08 6.70219e+08 6.70269e+08 6.70338e+08 6.70361e+08 6.70374e+08 6.7038e+08 6.70379e+08 6.70359e+08 6.70269e+08 6.70204e+08 6.702e+08 6.70232e+08 6.70259e+08 6.70234e+08 6.70124e+08 
6.70152e+08 6.70244e+08 6.70247e+08 6.70189e+08 6.7009e+08 6.70033e+08 6.70036e+08 6.70081e+08 6.7013e+08 6.70187e+08 6.70229e+08 6.7028e+08 6.70259e+08 6.70185e+08 6.70111e+08 6.70067e+08 6.70117e+08 6.70209e+08 6.70274e+08 6.70261e+08 6.70205e+08 6.70176e+08 6.7018e+08 6.70217e+08 6.70238e+08 6.70232e+08 6.70223e+08 6.70248e+08 6.70285e+08 6.70337e+08 6.70358e+08 6.70366e+08 6.70357e+08 6.7033e+08 6.70285e+08 6.70206e+08 6.70176e+08 6.70198e+08 6.70244e+08 6.70279e+08 6.70264e+08 6.70173e+08 
